"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"actuel";0,540531694916731;0,0226318913434489;0,0270288849432869;0,609898951638249;0,662646215379689;0,0277447877463153;0,0331351306168295;0,747684614737318;0,52643893454945;0,000855348902839235;0,00104244043352405;0,471663276114186;0,000517123032229299;9,06553107578192e-07;1,29302764827866e-06;0,000658365895945902;0,00176991150442478;0,476312774378337;0,000401546653161042
"acquérir";1,51743567344084;1,18651571199412;-1,59165805490843;-1,96919305236318;0,476965829223363;0,372949878774473;-0,500295674661453;-0,618963830599508;0,276007299370794;0,156402217752481;0,240485473426739;0,327105009449987;0,00407541773987764;0,00249171599081223;0,00448385020133607;0,00686322349995648;0,00176991150442478;1,84669456561116;0,00603589525426156
"de";-0,11978692837928;0,121790444776484;-0,062457111598399;-0,0792408011522065;-0,603770465954357;0,613868930328171;-0,314806965018157;-0,399402973943689;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,120641642827096;NA
"être";-0,135618238908527;0,124593799246485;0,0347363904820123;-0,1548394284332;-0,557869337175897;0,51252000292339;0,142889092868651;-0,636936226306455;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,143831373660457;NA
"la";-0,110391736912254;0,124197267358471;-0,10429997907878;-0,034058527454719;-0,554391105328035;0,623722954774354;-0,523798087651585;-0,171043098057921;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,121164747102503;NA
"les";-0,113063867256709;0,110656746280155;0,194402824020678;0,00412226203176422;-0,451038209310836;0,441435640769689;0,77551833099936;0,0164446673391729;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,148674640598848;NA
"l";-0,168654860693303;0,0213551007447784;-0,107096772452202;-0,0823358149174868;-0,776713301491835;0,0983475408593801;-0,493217256641883;-0,37918458070341;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,132149828133217;NA
"et";-0,148614723214728;0,269284627302412;0,0492400137789904;-0,0967964798378799;-0,455619048365899;0,825565616764757;0,150958718855145;-0,296756062083982;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,199954846154185;NA
"des";0,0709811075714132;0,195689419889822;-0,0645033876379362;-0,265338997348536;0,206723238523463;0,569919968967827;-0,187857722209152;-0,772765299319574;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,195367774673418;NA
"à";-0,100117744402408;-0,0446441510287415;-0,131576619586441;-0,118702477963007;-0,480473464462633;-0,214251030532171;-0,631447248760218;-0,569663161786269;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,120459385447035;NA
"avoir";-0,0565296354745869;0,163952656803417;0,199898840699649;-0,173121130639154;-0,17875655301896;0,518446856103554;0,632114950255066;-0,547439167226055;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,181791817449753;NA
"le";-0,0507377343698394;0,167132181582939;0,0126461747391094;0,109568380458431;-0,245615809113125;0,809068566387099;0,0612187453639771;0,530408516536161;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,123047284034087;NA
"que";0,168278600047279;-0,0364629058133067;0,29696248200647;-0,263732591432564;0,388738043822187;-0,0842324494852887;0,686008882361411;-0,609244976228984;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,246245870542484;NA
"en";0,0113176832822742;0,0671707893550905;0,176172542228921;0,0648414025646208;0,0566726541876519;0,336353900501421;0,882173967417553;0,324689628869758;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,11409962080845;NA
"d";-0,078724716252942;0,144029460488316;0,424301894109268;-0,00144416098196791;-0,173041729689397;0,316585542068531;0,932641451907567;-0,00317435395342345;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,262058694145699;NA
"qui";-0,264927220439923;0,667250896268768;0,186676909775529;-0,18574147031511;-0,346448245119149;0,87257134877507;0,244119451706789;-0,242896167217792;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,467522425244877;NA
"dans";-0,345956825214288;-0,0497907091186313;-0,0753102171923088;0,180553645696801;-0,863714738520993;-0,124307330200917;-0,188019255032543;0,450769672734248;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,24714111356539;NA
"il";-0,122482906278574;-0,0598572858126096;0,110454932542019;-0,19916063384455;-0,461460301426953;-0,225515233046998;0,416144325878477;-0,7503473661644;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,151162620194267;NA
"pour";0,287418430250542;0,155985329193336;-0,201035232871913;0,132793329684062;0,707596682989844;0,384020960089684;-0,494929513811121;0,326924475670231;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,247272740921026;NA
"nous";0,35053299100085;0,35067210973675;0,0311817198538275;0,0356591294628089;0,703762079900157;0,704041387393158;0,0626032715395409;0,0715925284137222;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,312247249550418;NA
"une";-0,141233030726048;0,0329259487137631;0,335607855837598;-0,0533473946004446;-0,382256516085106;0,0891162526175165;0,908344804921134;-0,144388243297977;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,214115758961675;NA
