"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"convenir";0,170223499056929;0,287528211930372;1,72295529648862;0,0969903219487011;0,163828460811597;0,98170928124185;0,0137625747274034;0,0347139238283109;0,951523501444286;0,000247658458386192;0,00070660233039211;0,0253724355016938;0,00854700854700855;1,21634363279085;0,012645229342144
"constituer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"connaître";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"commencer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"atteindre";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"assurer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"affirmer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,33962151460056;0,457709877497963;0,00015210892798243;0,000288324335474823;0,000509035028436588;0,00854700854700855;0,248406902300858;0,000527401616330836
"établir";0,194769538522588;0,356768329575801;3,03428764777913;0,063621236715583;0,116537947980673;0,991146429605249;0,00596109716971674;0,0176823033334837;0,9763565994968;0,000194539349416934;0,000652736620452859;0,047214879638282;0,00512820512820513;2,11467948599632;0,0229326632230443
"voter";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"saluer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"remercier";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"rappeler";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"protéger";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"partager";0,671826588797765;-8,72304845537402;0,584736829271113;0,0766190606806616;-0,994827817277477;0,0666868316187282;0,00664223497500849;0,989962047206775;0,00339571781821681;0,00308616044728644;0,520284269092671;0,00233789510773357;0,00683760683760684;6,91013748054263;0,326495726495726
"paraître";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"garder";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"engager";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"disparaître";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"concerner";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;0,000121687142385944;0,000230659468379858;0,00040722802274927;0,00683760683760684;0,248406902300858;0,000421921293064669
"appliquer";-2,28037061437382;-0,0195573624765975;-0,106125873665518;-0,998882166583526;-0,00856680948269778;-0,0464868482120357;0,998475653387873;6,49275916250937e-05;0,00145941902050261;0,0355561718899121;2,61531915925485e-06;7,70099217864584e-05;0,00683760683760684;1,9130367531427;0,0250236555136737
"évoquer";-9,52169577707061;-0,629233556293074;0,307626196679377;-0,997305469011973;-0,0659061244624222;0,0322208664866715;0,995455531406191;0,00384325434767266;0,000701214246136822;0,464936874210688;0,00203043522238579;0,000485301932735481;0,00512820512820513;8;0,328205128205128
"élever";0,194769538522588;0,356768329575801;3,03428764777913;0,063621236715583;0,116537947980673;0,991146429605249;0,00596109716971674;0,0176823033334837;0,9763565994968;0,000194539349416934;0,000652736620452859;0,047214879638282;0,00512820512820513;2,11467948599632;0,0229326632230443
"réserver";0,194769538522588;0,356768329575801;3,03428764777913;0,063621236715583;0,116537947980673;0,991146429605249;0,00596109716971674;0,0176823033334837;0,9763565994968;0,000194539349416934;0,000652736620452859;0,047214879638282;0,00512820512820513;2,11467948599632;0,0229326632230443
"revenir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"renforcer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"rendre";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"punir";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"préparer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"porter";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"modifier";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"lever";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"inspirer";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"exister";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"développer";-9,52169577707061;-0,629233556293074;0,307626196679377;-0,997305469011973;-0,0659061244624222;0,0322208664866715;0,995455531406191;0,00384325434767266;0,000701214246136822;0,464936874210688;0,00203043522238579;0,000485301932735481;0,00512820512820513;8;0,328205128205128
"concrétiser";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"comporter";0,194769538522588;0,356768329575801;3,03428764777913;0,063621236715583;0,116537947980673;0,991146429605249;0,00596109716971674;0,0176823033334837;0,9763565994968;0,000194539349416934;0,000652736620452859;0,047214879638282;0,00512820512820513;2,11467948599632;0,0229326632230443
"charger";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"arrêter";0,194769538522588;0,356768329575801;3,03428764777913;0,063621236715583;0,116537947980673;0,991146429605249;0,00596109716971674;0,0176823033334837;0,9763565994968;0,000194539349416934;0,000652736620452859;0,047214879638282;0,00512820512820513;2,11467948599632;0,0229326632230443
"arriver";0,133404439858441;0,183668035462228;-0,24404323044715;0,400255326301823;0,551061940240946;-0,73220653628939;0,202668607901479;0,339621514600559;0,457709877497963;9,1265356789458e-05;0,000172994601284893;0,000305421017061953;0,00512820512820513;0,248406902300858;0,000316440969798502
"être";0,0180010392392638;-0,13688325368841;-0,207604069663509;0,0722005134555753;-0,549026146124727;-0,832680837252894;NA;NA;NA;NA;NA;NA;NA;0,179740375287875;NA
"avoir";-0,238745268182529;-0,206433722946893;0,0156658748800335;-0,755509364197686;-0,65325948430245;0,0495746586322532;NA;NA;NA;NA;NA;NA;NA;0,258154834849936;NA
"*loc_mitterand";0,0745056286798818;-0,0216210575611686;0,0977146739479843;0,59715981911395;-0,173291965332628;0,783179446351186;NA;NA;NA;NA;NA;NA;NA;0,093376437310783;NA
"*date_1982";0,0745056286798818;-0,0216210575611686;0,0977146739479843;0,59715981911395;-0,173291965332628;0,783179446351186;NA;NA;NA;NA;NA;NA;NA;0,093376437310783;NA
"*loc_chirac";-0,88292189876567;0,0980994468564069;-0,185972764433831;-0,97279609844564;0,108085165058201;-0,204903264842903;NA;NA;NA;NA;NA;NA;NA;0,755099066812306;NA
"*date_2006";-0,88292189876567;0,0980994468564069;-0,185972764433831;-0,97279609844564;0,108085165058201;-0,204903264842903;NA;NA;NA;NA;NA;NA;NA;0,755099066812306;NA
"*loc_hollande";-0,13882531378833;-0,252423543861147;-0,188817399163953;-0,403040981916666;-0,732842089100562;-0,548179203671914;NA;NA;NA;NA;NA;NA;NA;0,264638443001861;NA
"*date_2017";-0,13882531378833;-0,252423543861147;-0,188817399163953;-0,403040981916666;-0,732842089100562;-0,548179203671914;NA;NA;NA;NA;NA;NA;NA;0,264638443001861;NA
